number	title	pageid	namespace	length	touched
154	Football_participatif	3404072		8871	20170213034022
155	Centre_de_formation_et_équipe_réserve_des_Girondins_de_Bordeaux	3450525		9660	20170210214511
156	Toque_(football)	3473488		1862	20170128190254
157	Équipe_réserve_et_centre_de_formation_du_FC_Nantes	3485903		32281	20170215013447
158	Michel_Pautot	3510497		6282	20170203211712
159	Statistiques_et_records_de_l'AS_Nancy-Lorraine	3522835		9849	20170123215050
160	But_de_Wembley	3542405		11642	20170215013523
161	Baby-foot	3552406		39214	20170212210950
162	90minut.pl	3585283		2706	20170214183823
163	Reprise_de_volée	3602707		1603	20170215013608
164	La_Masia	3670346		6485	20170212211702
165	Championnat_de_Belgique_de_football_féminin_(records)	3850770		4484	20170116142731
166	Championnat_des_Îles_Anglo-Normandes_de_football	3862357		13142	20170212212752
167	Records_du_Stade_lavallois	3873973		11995	20170127034844
168	Records_du_Benfica_Lisbonne	3960020		13423	20170215013922
169	Liste_de_stades_turcs_de_football	3986914		16057	20170214182728
170	Affaire_Allemandi	3994173		3505	20170215013942
171	European_Professional_Football_Leagues	4089414		7404	20170215035000
172	Trafford_Training_Centre	4105655		2981	20170116144841
173	Émeutes_du_match_de_football_Dinamo_Zagreb-Étoile_rouge_de_Belgrade	4141077		6031	20170212214037
174	Sélectionneur_de_football	4145151		28101	20170214061646
175	Équipe_réserve	4248538		3773	20170213040817
176	Fédération_internationale_de_football_association	4253863		36194	20170215035000
177	Prix_Puskás_de_la_FIFA	4337956		8101	20170127041133
178	On_refait_le_match_(Christophe_Pacaud)	4353224		3541	20170116145959
179	Finale_de_la_Coupe_d'Angleterre_de_football_de_1923	4360603		43421	20170212215322
180	Statistiques_et_records_de_l'Everton_FC	4395575		36808	20170212215441
181	Statistiques_et_records_de_la_Jeunesse_sportive_de_Kabylie	4432724		27874	20170128200416
182	Media_Sports_Investments	4437651		3309	20170212215927
183	Statistiques_et_records_de_la_Juventus_Football_Club	4482428		33599	20170212220123
184	Club_africain_du_XXe_siècle	4485977		4786	20170212220135
185	Statistiques_et_records_de_l'équipe_de_France_de_football	4589091		29822	20170214165307
186	Statistiques_et_records_de_l'équipe_d'Angleterre_de_football	4643782		25319	20170212220702
187	Centre_de_formation_du_Paris_Saint-Germain	4645650		69477	20170212220703
188	Bidone	4649838		5504	20170127042758
189	Meilleur_footballeur_de_l'année_du_championnat_d'Autriche_de_football	4682871		5447	20170214183419
190	Meilleur_footballeur_azerbaïdjanais_de_l'année	4682912		5298	20170214182821
191	Meilleur_footballeur_biélorusse_de_l'année	4683672		3931	20170116151759
192	Meilleur_footballeur_bulgare_de_l'année	4683745		10078	20170213041820
193	Meilleur_footballeur_de_l'année_du_championnat_croate	4683762		7185	20170213041820
194	Tactique	4686392		1035	20170116151813
195	Totonero_1980	4687246		3307	20170128203105
196	Codes_du_Football	4732490		866	20170123230737
197	Remplaçant_(football)	4743173		8822	20170213041924
198	Histoire_du_football_en_Afrique	4772193		39799	20170212221224
199	Makarapa	4777466		482	20170213042007
200	Paul_le_poulpe	4816950		37507	20170215015011
201	Tacle_glissé	4847006		3008	20170212221646
202	Défenseur_(football)	4878395		14437	20170215015045
203	Entraîneur_(football)	4901552		4168	20170212222053
204	Académie_Robert_Louis-Dreyfus	4910142		8318	20170116153504
205	The_Cliff	4917525		6241	20170212222201
206	Lexique_du_football	4923646		95352	20170214165308
207	Studio_Foot	4927560		4480	20170212222247
208	Ballon_d'or_tunisien	4934811		2244	20170215015131
209	Match_de_football_AC_Milan_–_LOSC_Lille_Métropole_(2006)	4955214		25506	20170212222544
210	Académie_Mohammed_VI_de_football	5050778		9056	20170212223403
211	But_(football)	5072603		2184	20170213043148
212	Sportsnet_World	5082276		4342	20170215015714
213	Attaquant_(football)	5087571		9831	20170213132049
214	Histoire_du_football	5092779		90357	20170215015719
215	Plaque_UEFA	5140239		3482	20170212224022
216	Vestiaires_(magazine)	5241229		2203	20170116160232
217	Joueur_du_Luxembourg_de_l'année	5375473		6249	20170213044207
218	Championnat_du_monde_de_football_non_officiel	5383743		202753	20170214165933
219	Médaille_Joe_Marston	5446630		5738	20170116161959
220	Maison_du_Football	5481527		1968	20170116162222
221	Match_aller-retour	5499680		6209	20170128215429
222	Arrêt_Bosman	5589147		10559	20170212230442
223	Rivalités_dans_le_football	5604275		15694	20170215020454
224	Scudetto	5777879		3444	20170116165208
225	Les_Footballeurs	5796194		14171	20170212231545
226	Football_suédois	5802051		6710	20170212231614
227	Le_Parc_des_Princes_(Staël)	5815974		7666	20170212231634
