number	title	pageid	namespace	length	touched
236	Propagation_d'affinité	1377026		1884	20170215160308
237	Surface_de_sustentation	1380634		2136	20170215160316
238	Processus_d'Ornstein-Uhlenbeck	1385560		3796	20170215160340
239	David_H._D._Warren	1413582		862	20170215160443
240	BFGS	1422965		5002	20170212195020
241	Méthodes_de_points_intérieurs	1434365		2865	20170131233001
242	Optimisation_non_linéaire	1452714		6828	20170212195204
243	Modèle_des_croyances_transférables	1480694		5123	20170215160748
244	Walter_Pitts	1485803		4669	20170215160755
245	Cartographie_et_localisation_simultanées	1508959		4368	20170215160857
246	Analyse_sémantique_latente	1542039		16367	20170212195443
247	Analyse_sémantique_latente_probabiliste	1542185		4483	20170215160953
248	DSATUR	1545212		3335	20170212195459
249	Claytronics	1550710		579	20170215161023
250	Joseph_Weizenbaum	1571000		3632	20170214224032
251	Eurisko	1640723		1654	20170215161421
252	Copycat_(logiciel)	1644419		1503	20170212195902
253	BEAM_(robotique)	1646109		2674	20170215161434
254	Raisonnement_automatisé	1658170		2805	20170215161506
255	General_Problem_Solver	1666342		2588	20170127021619
256	Dimension_de_Vapnik-Chervonenkis	1678961		6352	20170215161606
257	Théorie_de_Vapnik-Chervonenkis	1679037		2421	20170215161609
258	Apprentissage_non_supervisé	1682503		2157	20170215161617
259	Filoguidage	1684688		11297	20170201181120
260	Service_d'ontologie_agricole	1688933		8441	20170212200137
261	Pulvérisation_(mathématiques)	1699052		6951	20170212200237
262	Théorie_de_Dempster-Shafer	1764684		5630	20170212200412
263	Logique_défaisable	1793572		2363	20170215161947
264	Point_Distribution_Model	1823283		6728	20170212200603
265	Daniel_Crevier	1859180		1616	20170212164149
266	Pelote_aléatoire	1868743		12692	20170212200739
267	Go_en_informatique	1872543		13841	20170214014106
268	Urbi	1874735		8437	20170215012501
269	Réseaux_autonomes	1887690		15016	20170215162520
270	Réseaux_spontanés	1887710		612	20170215162524
271	Terry_Winograd	1896866		1080	20170215162600
272	ReCAPTCHA	2008138		5891	20170215012559
273	CIDOC_Conceptual_Reference_Model	2176667		1773	20170215163233
274	Kevin_Warwick	2458108		4141	20170215012703
275	ALIVE_(moteur_de_jeu)	2498406		1545	20170215163920
276	Zero_Moment_Point	2660019		8243	20170212202216
277	Classifieur_linéaire	2678247		6429	20170215164124
278	Astuce_du_noyau	2678992		4523	20170212202314
279	Soar_(architecture_cognitive)	2679427		6669	20170212202317
280	Algorithme_de_Baum-Welch	2715745		5288	20170215164217
281	Deep_Thought_(ordinateur_d'échecs)	2754243		3945	20170212202807
282	Cerveau_artificiel	2760340		4944	20170212202818
283	Cray_Blitz	2764789		1365	20170215164424
284	Belle_(ordinateur_d'échecs)	2764819		3058	20170215164424
285	ChipTest	2765315		1975	20170212202823
286	HiTech	2765602		2572	20170212202823
287	Feng-hsiung_Hsu	2767861		4779	20170214224032
288	Paradoxe_d’Ellsberg	2771444		2126	20170116134419
289	Algorithme_de_l'arbre_de_jonction	2773035		1864	20170215164447
290	Conversationnel	2782784		1103	20170215164514
291	Intelligence_computationnelle	2796084		2431	20170212202942
292	Roger_Schank	2801948		8046	20170214224032
293	Seymour_Papert	2820349		9277	20170214224032
294	Her	2821701		25485	20170215012902
295	Aide_au_diagnostic_médical	2825363		7591	20170116134724
296	Neuro-ingénierie	2827820		5283	20170212203112
297	Gérard_Sabah	2833021		36966	20170213054837
298	Saitek	2847795		4324	20170213031557
299	Jeu_d'échecs_électronique	2849837		5714	20170213031609
300	Informatique_décisionnelle	2861002		27075	20170215012926
301	Algorithme_CART	2875567		887	20170213031717
302	Hans_Moravec	2953437		4911	20170214100239
303	SpeechMagic	2974309		2819	20170212203855
304	SHRDLU	3008842		6132	20170212204022
305	Cyc_(projet)	3012006		22363	20170212204033
306	Résumé_automatique_de_texte	3026168		6533	20170215013036
307	Classification_naïve_bayésienne	3040159		21602	20170204151648
308	Cadre_(intelligence_artificielle)	3044459		1585	20170212204148
309	AIML	3083700		7667	20170213032708
310	Histoires_de_robots	3144545		20729	20170129154703
311	Denavit-Hartenberg	3147529		12601	20170213032922
312	Processus_de_comptage	3147687		753	20170128184755
313	Activation_du_Développement_Vocationnel_et_Personnel	3161322		17722	20170127030914
314	Algorithme_de_Gauss-Newton	3182978		20038	20170212204812
315	Moindres_carrés_non_linéaires	3196061		17761	20170128185049
316	Matrix	3292220		41301	20170215013255
317	Informatique_décisionnelle_open_source	3394127		6131	20170212205914
318	Méthode_de_Viola_et_Jones	3472145		46193	20170212210504
319	Processus_de_Markov	3491379		13571	20170212210544
320	Graphe_d'une_chaîne_de_Markov_et_classification_des_états	3496618		12841	20170116141141
321	Probabilité_stationnaire_d'une_chaîne_de_Markov	3498373		35869	20170127032537
322	Algorithme_de_Grover	3499712		23983	20170214185926
323	Récurrence_et_transience_d'une_chaîne_de_Markov	3504602		17222	20170116141206
324	Mark_Pauline	3505774		2297	20170214235024
325	Processus_de_Wiener	3510707		486	20170213034428
326	Ross_Quinlan	3512039		755	20170213034433
327	Processus_de_Bernoulli	3565514		8077	20170128190839
328	Méthode_de_l'entropie_croisée	3587167		7865	20170213034913
329	Vallée_dérangeante	3603758		6603	20170213035021
330	Web_Ontology_Language_for_Web_Services	3605810		896	20170215013608
331	Locality_sensitive_hashing	3612648		8316	20170212211347
332	Banque_de_connaissance	3658630		1187	20170215113725
333	Camshift	3708402		10295	20170127033820
334	Analyse_de_concepts_formels	3744734		5915	20170212211956
335	Algorithme_de_Karmarkar	3770532		5643	20170212212137
336	Heuristique_de_Lin-Kernighan	3796712		4534	20170212212321
337	Lunettes_vidéo	3825745		2057	20170213035616
338	Point_d'intérêt_(morphométrie)	3908440		813	20170213035855
339	Conscience_artificielle	3964102		2205	20170213040035
340	Robotique_neuromorphique	3976369		846	20170213040122
341	Bras_manipulateur	3976516		1017	20170213040123
342	Programme_Robonaut	3977316		2582	20170215013936
343	Équation_de_Chapman-Kolmogorov	3982737		3006	20170212213239
344	AdaBoost	3984464		4019	20170212213243
345	RankBoost	3984522		2304	20170116143410
346	Blue_Brain	3993772		5517	20170215013942
347	Lego_Pneumatique	4017953		1831	20170213040234
348	Budstar	4054015		3019	20170116144602
349	Processus_de_Galton-Watson	4101190		32642	20170212213915
350	Yoshua_Bengio	4149454		4386	20170215095717
351	2-opt	4153383		9757	20170212214117
352	Recherche_locale_à_grand_voisinage	4158451		624	20170131233016
353	European_Land-Robot_Trial	4242695		14159	20170202155610
354	Roue_codeuse	4242930		866	20170213040811
355	Ontoclean	4279095		13607	20170212214913
356	Aide_à_la_décision	4282962		19770	20170212214943
357	Willow_Garage	4426370		7394	20170215014506
358	Pourquoi_le_futur_n'a_pas_besoin_de_nous	4446469		6135	20170212215940
359	FreeHAL	4480461		2464	20170116150700
360	Processus_de_Lévy	4493189		19527	20170212220153
361	Similarité_(informatique)	4496632		2865	20170215014619
362	Robot_Land	4611514		1558	20170215014749
363	Mouvement_brownien_fractionnaire	4617817		8143	20170116151339
364	Mephisto_(jeu_d'échecs)	4638024		2311	20170116151521
365	Roboéthique	4645717		1550	20170213041727
366	OpenCog	4660501		3454	20170212220735
367	Algorithme_de_Metropolis-Hastings	4663558		6158	20170213041754
368	Daniel_Weinreb	4690985		3528	20170214224033
369	Méthode_de_l'ellipsoïde	4710769		3216	20170215014846
370	Robot_Hall_of_Fame	4743408		4614	20170212221107
371	Ray_Solomonoff	4775335		2480	20170215014939
372	Méthode_d'Otsu	4775578		3945	20170212221242
373	Conference_on_Computer_Vision_and_Pattern_Recognition	4789411		8363	20170213042018
374	Espace_de_versions	4799685		10529	20170212221350
375	Avida_(logiciel)	4811461		8585	20170215014956
376	International_Conference_on_Computer_Vision	4821265		3906	20170213042101
377	Claude_Touzet	4877009		4120	20170128204831
378	Weka_(informatique)	4909389		10833	20170215015116
379	Preference_ranking_organization_method_for_enrichment_evaluation	4922733		15024	20170212222230
380	GNOWSYS	4943453		1592	20170213042533
381	Détection_d'objet	4946777		4897	20170213042537
382	Extraction_de_caractéristique_en_vision_par_ordinateur	4947253		23500	20170128140339
383	Détection_de_points_d'intérêt	4947311		181	20161129133102
384	International_Journal_of_Computer_Vision	4947312		975	20170213042537
385	Scale-invariant_feature_transform	4951709		77130	20170212222506
386	Extraction_de_caractéristique	4961257		911	20170213042616
387	Extraction_de_caractéristique_(audio)	4961273		496	20170213042616
388	Chaînage_avant	4961715		3540	20170212222641
389	Algorithme_de_Dieu	4964241		1703	20170212222702
390	Épistémologie_de_la_logique	4965908		6736	20170212222721
391	Image_intégrale	4973865		4458	20170215015320
392	Caractéristiques_pseudo-Haar	4990582		6291	20170215015406
393	Détection_de_visage	4990991		8014	20170215015406
394	IEEE_Transactions_on_Pattern_Analysis_and_Machine_Intelligence	4993304		1484	20170213042849
395	Transecom	4993777		5344	20170212223018
396	Histogramme_de_gradient_orienté	4995855		11274	20170215015424
397	Motif_binaire_local	5003037		5878	20170213042920
398	Détection_de_personnes	5016296		37933	20170212223157
399	K-moyennes	5031907		10805	20170215015616
400	Processus_de_Cox	5061570		1346	20170212223437
401	Abaque_de_Régnier	5072960		13191	20170116155031
402	Algorithme_à_directions_de_descente	5078834		12125	20170212223616
403	Algorithme_à_régions_de_confiance	5078862		4548	20170212223616
404	Perceptron_multicouche	5080444		3876	20170131233016
